id;firstname;lastname;type;lead;phone_number;email;notes
1;Alaska;utilize;Togo architectures;Tools visualize Fantastic;"95";"cf@IQ.R8W.W";../fake-data/blob/hipster.txt
2;time-frame;programming Planner;connect;panel;;"U+@HEjJKl.EVn.uB7.Mn33Q.uI7f6F";../fake-data/blob/hipster.txt
3;intermediate eyeballs;Generic;Loan dedicated array;Road Consultant withdrawal;"529";"I2di&l@deMRdf.Uogr.AaBmSZ.pm0i";../fake-data/blob/hipster.txt
4;Awesome Future Concrete;Small;Tactics Bahamas;Gloves International hacking;;"^@XGq3.C.xvM5vT";../fake-data/blob/hipster.txt
5;Democratic Visionary Central;Cambodia Bike Berkshire;Data platforms;SAS Health;"4";"%.YFfg@iU.EsAV.eoh.87S.q";../fake-data/blob/hipster.txt
6;Mississippi;Coordinator auxiliary;program Director;rich Borders Avon;;"`N-0Ij@ATAacS.vQ2u7r";../fake-data/blob/hipster.txt
7;Handmade asymmetric Clothing;Salad;complexity;methodologies Virginia relationships;"88-";"L@Fcep";../fake-data/blob/hipster.txt
8;unleash protocol;Loan GB leading-edge;Steel Liechtenstein generating;Auto Soap;"9- 4+";"d$O@ckjjIx.r";../fake-data/blob/hipster.txt
9;mobile Principal yellow;Tajikistan Stand-alone;Account;Village Pike;;"IBlQ1W@-H.xLnCb.sqWNIf";../fake-data/blob/hipster.txt
10;olive impactful CSS;salmon black encryption;secondary plug-and-play Investment;maximize;" 4266";"40a.#@QGuxwf.uZZwvT.sY-aa";../fake-data/blob/hipster.txt
